,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-16 14:21:16.503656,253,437,256,427,0,0,278,430,0,0,247,507,372,517,207,610,0,0,0,0,0,0,359,706,329,708,0,0,0,0,449,720,0,0,None
2,2020-10-16 14:21:16.779527,201,457,202,448,0,0,222,451,286,446,201,526,325,529,175,626,0,0,190,648,0,0,245,698,304,693,0,0,0,0,0,0,0,0,None
3,2020-10-16 14:21:17.074590,145,470,145,459,0,0,162,458,219,457,162,524,260,539,152,625,272,620,0,0,279,666,186,689,249,686,0,0,0,0,0,0,0,0,move left
4,2020-10-16 14:21:17.348798,0,0,0,0,0,0,101,457,141,456,93,508,183,511,0,0,0,0,0,0,0,0,176,676,187,679,0,0,0,0,0,0,0,0,move right
5,2020-10-16 14:21:27.623899,354,455,353,449,350,451,0,0,334,450,352,475,316,479,359,512,309,514,366,542,309,544,348,542,323,544,354,593,322,589,356,637,322,630,move left
6,2020-10-16 14:21:27.888042,364,454,364,450,360,450,0,0,345,450,367,476,328,477,373,510,316,512,381,540,312,542,359,541,333,541,359,589,329,586,357,636,321,628,move advance
7,2020-10-16 14:21:28.157099,372,456,372,451,369,451,0,0,354,450,376,477,333,478,385,512,323,512,392,543,321,540,363,544,336,543,360,591,333,590,358,639,326,640,None
8,2020-10-16 14:21:28.430619,374,457,375,452,371,452,0,0,356,451,377,478,333,479,387,512,325,514,395,543,327,545,364,544,338,545,362,595,339,596,357,643,333,646,move advance
9,2020-10-16 14:21:28.712288,369,454,369,449,363,451,0,0,350,451,375,481,333,480,383,517,323,517,390,546,324,549,364,549,339,550,362,599,341,602,358,644,337,648,move advance
10,2020-10-16 14:21:28.996713,346,448,349,446,341,445,358,451,337,449,369,476,326,478,376,512,319,517,381,544,317,552,361,546,335,548,367,595,338,599,356,644,341,648,move advance
11,2020-10-16 14:21:29.259948,333,449,337,445,330,444,350,448,329,448,367,476,321,480,375,512,314,516,379,543,310,546,362,547,333,549,369,596,335,604,357,645,343,649,None
