,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label1,label2,face,rotation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-19 16:02:58.497142,299,324,0,0,300,288,279,285,283,281,357,453,321,441,0,0,0,0,0,0,0,0,321,610,0,0,0,0,0,0,0,0,0,0,None,None,None,None
2,2020-10-19 16:02:59.032053,419,385,0,0,422,368,0,0,405,358,461,499,450,490,481,616,0,0,461,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
3,2020-10-19 16:02:59.318231,0,0,0,0,483,382,393,383,465,387,507,494,505,486,548,599,551,595,557,565,0,0,456,710,0,0,0,0,0,0,0,0,0,0,front,move left,None,None
4,2020-10-19 16:02:59.604042,539,429,0,0,540,423,455,425,526,431,420,515,570,522,370,621,614,607,0,0,0,0,506,710,0,0,0,0,0,0,0,0,0,0,back,move left,face right,rotation
5,2020-10-19 16:02:59.888927,0,0,0,0,0,0,504,419,575,427,463,498,608,513,420,601,0,0,0,0,0,0,491,714,553,699,0,0,0,0,0,0,0,0,back,stay,face back,None
6,2020-10-19 16:03:00.183537,0,0,0,0,612,423,543,429,605,427,506,504,624,498,467,600,0,0,0,0,0,0,539,693,0,0,0,0,0,0,0,0,0,0,back,stay,face right,None
7,2020-10-19 16:03:00.475739,0,0,0,0,631,458,565,463,622,462,535,530,625,523,522,613,633,591,535,624,0,0,564,685,587,683,0,0,0,0,0,0,0,0,back,stay,face right,None
8,2020-10-19 16:03:00.793752,0,0,0,0,0,0,599,449,645,447,573,509,576,516,0,0,0,0,0,0,0,0,586,662,597,661,0,0,0,0,0,0,0,0,back,move right,face back,None
9,2020-10-19 16:03:01.075025,0,0,0,0,0,0,631,459,643,463,605,520,608,523,0,0,0,0,0,0,0,0,0,0,617,656,0,0,0,0,0,0,0,0,back,move right,face back,None
10,2020-10-19 16:03:04.723610,0,0,0,0,0,0,0,0,644,458,621,488,635,490,612,530,613,529,609,550,609,549,633,569,644,571,0,0,0,0,0,0,0,0,back,move right,face right,None
11,2020-10-19 16:03:04.990955,0,0,0,0,0,0,630,457,643,458,619,482,643,480,603,517,0,0,610,503,0,0,629,551,646,555,0,0,637,609,0,0,0,0,back,move recession,face back,None
12,2020-10-19 16:03:05.263847,0,0,0,0,0,0,627,457,645,458,617,484,650,480,604,523,0,0,601,541,0,0,627,560,640,564,0,0,632,608,0,0,0,0,back,move recession,face back,None
13,2020-10-19 16:03:05.535965,0,0,0,0,0,0,624,449,641,448,619,473,644,472,610,511,623,508,609,539,609,538,627,540,652,543,614,583,616,584,626,624,626,623,back,stay,face back,None
14,2020-10-19 16:03:05.800019,611,452,613,448,0,0,621,447,0,0,618,471,639,469,614,507,623,501,608,534,610,533,620,532,632,531,603,575,623,578,612,621,613,620,back,stay,face left,None
15,2020-10-19 16:03:06.078630,597,455,599,451,0,0,608,449,0,0,609,475,632,472,608,512,636,508,602,542,0,0,614,542,635,542,598,581,627,588,587,619,589,619,back,move recession,face left,None
16,2020-10-19 16:03:06.348196,577,454,579,449,0,0,590,450,0,0,598,474,597,472,599,508,588,507,589,540,583,540,596,537,594,537,588,578,598,579,588,621,585,621,front,move right,face right,rotation
17,2020-10-19 16:03:06.616946,564,450,568,446,563,446,579,449,0,0,587,470,579,468,584,505,571,498,572,535,561,535,582,529,577,527,572,570,569,569,589,617,588,616,front,move right,face right,None
18,2020-10-19 16:03:06.884412,546,452,550,447,544,449,561,449,0,0,568,473,558,473,565,506,545,497,563,536,528,487,565,538,557,536,577,584,541,583,588,620,522,614,front,move right,face right,None
19,2020-10-19 16:03:07.153394,523,451,528,447,520,447,539,449,0,0,548,473,531,472,551,506,515,495,550,536,505,491,540,536,528,534,526,577,532,578,519,616,517,614,front,move right,face right,None
20,2020-10-19 16:03:07.424868,503,451,507,446,500,447,516,448,0,0,527,471,504,470,536,502,488,490,537,530,481,484,521,531,509,527,504,569,505,569,523,606,522,605,front,move right,face right,None
21,2020-10-19 16:03:07.694497,482,452,486,447,480,449,498,450,0,0,510,474,487,474,519,504,473,497,517,534,463,487,504,534,490,531,491,578,500,577,464,622,517,618,front,move right,face right,None
22,2020-10-19 16:03:07.960972,465,452,470,448,462,448,481,448,0,0,490,477,466,473,495,510,450,495,497,538,444,487,479,534,467,532,466,576,474,575,453,623,507,614,front,move right,face right,None
23,2020-10-19 16:03:08.229246,444,449,449,445,442,445,461,447,0,0,471,472,449,467,467,511,437,494,463,538,425,489,459,528,442,525,456,572,432,570,458,614,455,614,front,move right,face right,None
24,2020-10-19 16:03:08.496762,427,450,432,447,425,446,445,448,0,0,456,472,425,470,452,509,416,496,442,531,405,494,446,531,427,531,449,578,415,578,453,624,394,624,front,move advance,face right,None
25,2020-10-19 16:03:08.766765,402,454,406,449,400,450,419,450,0,0,432,476,401,473,435,513,389,498,429,537,383,494,423,532,404,529,430,579,389,581,449,621,449,622,front,move right,face right,None
26,2020-10-19 16:03:09.035249,378,448,383,444,378,443,398,445,0,0,418,469,378,473,433,502,372,501,436,535,374,507,409,531,387,530,405,578,384,580,402,625,386,626,front,move advance,face right,None
27,2020-10-19 16:03:09.304230,369,451,374,446,368,446,389,447,0,0,407,470,366,473,424,502,360,502,430,535,363,514,399,533,376,531,393,582,379,582,388,630,388,630,front,move advance,face right,None
28,2020-10-19 16:03:09.574995,368,453,374,450,367,449,386,452,366,452,401,476,360,477,415,507,353,507,417,538,354,507,392,538,369,537,382,589,384,589,380,633,381,633,front,stay,face front,None
29,2020-10-19 16:03:09.842773,369,455,374,451,367,451,385,454,365,454,398,479,356,478,408,514,351,510,410,546,349,505,385,541,361,537,380,596,360,594,372,642,372,643,front,move advance,face front,None
30,2020-10-19 16:03:10.110602,366,453,371,448,364,448,383,452,361,451,395,478,352,476,402,514,343,505,399,543,343,500,382,546,354,542,377,598,347,595,369,642,357,640,front,move advance,face front,None
31,2020-10-19 16:03:10.382092,364,454,370,450,362,450,379,452,356,453,391,480,346,480,398,514,337,515,393,543,343,505,379,548,351,547,377,600,346,601,370,646,338,654,front,move advance,face front,None
32,2020-10-19 16:03:10.656726,366,457,368,452,361,453,371,455,351,455,382,483,334,484,393,518,324,518,395,551,332,506,373,552,344,551,375,604,345,605,358,655,343,655,front,move advance,face front,None
33,2020-10-19 16:03:10.926702,370,452,369,447,363,449,0,0,348,450,374,479,330,480,388,516,319,519,394,549,331,500,368,551,338,551,375,602,340,608,367,644,341,654,front,move recession,face left,None
34,2020-10-19 16:03:11.196590,370,455,370,450,365,451,0,0,349,453,373,479,329,482,385,517,318,519,389,548,337,502,370,553,340,553,374,611,340,613,370,668,343,661,front,stay,face left,None
35,2020-10-19 16:03:11.466277,373,459,374,454,368,454,0,0,353,457,378,486,333,483,385,521,319,523,390,550,342,510,374,561,342,562,375,620,340,619,374,671,339,664,front,move advance,face left,None
36,2020-10-19 16:03:11.736622,384,456,384,452,379,452,0,0,361,454,387,485,339,482,394,524,327,522,400,558,348,504,379,558,348,557,383,622,341,619,376,676,344,668,front,move advance,face left,None
37,2020-10-19 16:03:12.006552,389,454,389,449,384,450,0,0,365,451,393,481,342,481,408,518,330,521,417,554,349,506,382,557,350,557,383,622,347,619,371,678,345,679,front,move advance,face left,None
38,2020-10-19 16:03:12.275695,388,456,387,451,382,451,0,0,364,453,393,484,342,485,408,522,330,527,420,557,350,512,382,566,350,566,381,628,345,633,377,681,339,697,front,stay,face left,None
39,2020-10-19 16:03:12.545220,382,456,382,450,376,450,0,0,358,453,385,484,334,485,396,528,322,527,406,563,345,516,377,568,345,568,382,626,360,629,378,678,340,699,front,stay,face left,None
40,2020-10-19 16:03:12.815402,377,451,376,446,371,447,0,0,352,450,381,481,329,484,390,522,317,528,394,564,340,513,375,570,342,572,385,630,339,639,376,677,340,700,front,move advance,face left,None
41,2020-10-19 16:03:13.084159,378,453,378,447,373,448,0,0,356,449,382,485,332,484,392,528,317,531,399,567,343,516,377,572,344,574,384,637,339,642,381,710,339,705,front,move recession,face left,None
42,2020-10-19 16:03:13.355207,385,460,385,455,378,455,0,0,359,458,388,490,336,490,402,537,322,537,407,579,344,519,381,582,346,582,385,653,342,645,383,714,371,712,front,move advance,face left,None
43,2020-10-19 16:03:13.638981,384,459,387,453,378,453,392,451,364,452,403,488,343,486,415,534,329,534,417,579,351,517,389,584,351,582,372,657,348,656,382,720,341,720,front,move advance,face front,None
